   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC

   @data

52, 27, 20, 14, 8, True, True, True, True, North, 4, 1, 11, 6, 6, 999999, 999999, 11, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, Stop, 16, 0, -1, 549,North, 548
53, 27, 20, 14, 9, True, True, False, True, North, 4, 1, 11, 5, 5, 999999, 999999, 11, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, South, 16, 0, -1, 548,North, 547
54, 27, 20, 14, 10, True, True, True, True, North, 4, 1, 11, 3, 3, 999999, 999999, 11, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, South, 14, 0, -1, 547,North, 546
55, 27, 20, 14, 11, True, True, True, True, North, 4, 1, 11, 3, 3, 999999, 999999, 11, 1, 0, 0, 1, 1, 0, 0, 0, North, None, None, North, North, 14, 0, -1, 546,North, 545
56, 27, 20, 14, 12, True, True, True, True, North, 4, 1, 11, 3, 3, 999999, 999999, 11, 1, 0, 0, 1, 1, 0, 0, 0, North, None, None, North, North, 14, 0, -1, 545,North, 544
57, 27, 20, 14, 13, True, True, False, False, North, 4, 1, 11, 1, 1, 999999, 999999, 11, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, South, 12, 0, -1, 544,North, 543
58, 27, 20, 14, 14, True, True, True, True, North, 4, 1, 10, 0, 999999, 999999, 999999, 10, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, West, 10, 0, -1, 543,East, 542
59, 27, 20, 15, 14, True, False, True, True, East, 4, 1, 8, 0, 999999, 999999, 999999, 8, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, West, 8, 0, -1, 542,East, 541
60, 27, 20, 16, 14, True, False, True, True, East, 4, 1, 7, 0, 999999, 999999, 999999, 7, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, West, 7, 0, -1, 541,East, 540
61, 27, 20, 17, 14, True, True, True, True, East, 4, 1, 6, 1, 999999, 1, 999999, 6, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 7, 0, -1, 540,East, 539
62, 27, 20, 18, 14, False, True, True, True, East, 4, 1, 4, 1, 999999, 1, 999999, 4, 0, 1, 0, 1, 0, 0, 1, 0, None, West, None, West, West, 5, 0, -1, 539,East, 538
63, 27, 20, 19, 14, False, True, True, True, East, 4, 1, 4, 1, 999999, 1, 999999, 4, 0, 1, 0, 1, 0, 0, 0, 1, None, East, None, East, East, 5, 0, -1, 538,East, 537
64, 27, 20, 20, 14, True, True, False, True, East, 4, 1, 2, 1, 999999, 1, 999999, 2, 0, 1, 0, 1, 0, 0, 1, 0, None, West, None, West, West, 3, 0, -1, 537,North, 536
65, 27, 20, 20, 15, True, True, True, False, North, 4, 1, 3, 2, 999999, 2, 999999, 3, 0, 1, 0, 1, 0, 0, 0, 1, None, East, None, East, East, 5, 0, -1, 536,East, 535
66, 27, 20, 21, 15, True, False, True, True, East, 4, 1, 1, 2, 999999, 2, 999999, 1, 0, 1, 0, 1, 0, 0, 1, 0, None, West, None, West, West, 3, 0, -1, 535,East, 534
67, 27, 20, 22, 15, True, True, True, True, East, 4, 1, 1, 2, 999999, 2, 999999, 1, 0, 1, 0, 1, 0, 0, 0, 1, None, East, None, East, East, 3, 0, -1, 534,South, 533
68, 27, 20, 22, 14, True, True, True, False, South, 4, 1, 1, 0, 999999, 999999, 999999, 1, 0, 0, 0, 1, 1, 0, 0, 0, None, None, None, North, North, 1, 0, -1, 533,South, 532
69, 27, 20, 22, 13, True, False, True, False, South, 4, 1, 1, 0, 999999, 999999, 999999, 1, 0, 0, 0, 1, 0, 1, 0, 0, None, None, None, South, South, 1, 0, -1, 532,North, 531
70, 27, 20, 22, 14, True, True, True, False, North, 4, 1, 1, 1, 999999, 1, 999999, 1, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 2, 0, -1, 531,South, 530
71, 27, 20, 22, 13, True, False, True, False, South, 4, 1, 1, 0, 999999, 999999, 999999, 1, 0, 0, 0, 1, 0, 0, 0, 0, None, None, None, Stop, Stop, 1, 0, -1, 530,East, 729
1, 30, 20, 1, 18, False, True, True, False, Stop, 4, 4, 0, 9, 999999, 9, 999999, 1, 0, 4, 0, 3, 0, 0, 0, 0, None, Stop, None, Stop, Stop, 13, 0, -1, 0,South, -1
